batch,acc,data
760,0.70000000,4192
764,0.70000000,4208
766,0.70000000,4224
767,0.70000000,4240
769,0.70000000,4256
770,0.70000000,4272
771,0.70000000,4288
775,0.70000000,4304
776,0.70000000,4320
777,0.70000000,4336
778,0.70000000,4352
779,0.70000000,4368
780,0.70000000,4384
781,0.70000000,4400
782,0.70000000,4416
783,0.70000000,4432
784,0.70000000,4448
785,0.70000000,4464
786,0.70000000,4480
787,0.70000000,4496
788,0.70000000,4512
789,0.70000000,4528
790,0.70000000,4544
791,0.70000000,4560
792,0.70000000,4576
794,0.70000000,4592
795,0.70000000,4608
796,0.70000000,4624
797,0.70000000,4640
798,0.70000000,4656
799,0.70000000,4672
801,0.70000000,4688
802,0.70000000,4704
803,0.70000000,4720
804,0.70000000,4736
808,0.70000000,4752
809,0.70000000,4768
810,0.70000000,4784
812,0.70000000,4800
813,0.70000000,4816
814,0.70000000,4832
815,0.70000000,4848
816,0.70000000,4864
817,0.70000000,4880
819,0.70000000,4896
820,0.70000000,4912
823,0.70000000,4928
824,0.70000000,4944
825,0.70000000,4960
826,0.70000000,4976
828,0.70000000,4992
829,0.70000000,5008
830,0.70000000,5024
831,0.70000000,5040
832,0.70000000,5056
833,0.70000000,5072
834,0.70000000,5088
836,0.70000000,5104
837,0.70000000,5120
838,0.70000000,5136
839,0.70000000,5152
840,0.70000000,5168
841,0.70000000,5184
842,0.70000000,5200
845,0.70000000,5216
846,0.70000000,5232
847,0.70000000,5248
848,0.70000000,5264
849,0.70000000,5280
850,0.70000000,5296
851,0.70000000,5312
852,0.70000000,5328
853,0.70000000,5344
854,0.70000000,5360
855,0.70000000,5376
856,0.70000000,5392
857,0.70000000,5408
858,0.70000000,5424
859,0.70000000,5440
860,0.70000000,5456
